experiment,num_seeds,success_rate_mean,success_rate_std,mean_reward_mean,mean_reward_std,mean_ep_length_mean,mean_ep_length_std,mean_steps_to_success_or_timeout_mean,mean_steps_to_success_or_timeout_std,mean_steps_to_success_success_only_mean,mean_steps_to_success_success_only_std,mean_final_distance_to_goal_mean,mean_final_distance_to_goal_std
fetch_adhoc_shaping_sac,3,1.0,0.0,-1.887814960659792,0.3388773104341308,2.6999999999999997,0.30000000000000004,2.6999999999999997,0.30000000000000004,2.6999999999999997,0.30000000000000004,0.030759304855018803,0.00328156113935665
fetch_dense_sac,3,1.0,0.0,-0.6895501182541084,0.3461016547125279,50.0,0.0,,,,,,
fetch_her_to_min_time_sac,3,1.0,0.0,-1.7166666666666668,0.35472994422987947,2.716666666666667,0.35472994422987947,2.716666666666667,0.35472994422987947,2.716666666666667,0.35472994422987947,,
fetch_min_time_sac,3,1.0,0.0,-1.7166666666666668,0.32532035493238554,2.716666666666667,0.32532035493238554,2.716666666666667,0.32532035493238554,2.716666666666667,0.32532035493238554,,
fetch_min_time_sac_her,1,0.0,,-50.0,,50.0,,50.0,,,,,
fetch_pbrs_sac,3,1.0,0.0,-1.618995126336813,0.31239161009005084,2.733333333333333,0.32532035493238554,2.733333333333333,0.32532035493238554,2.733333333333333,0.32532035493238554,0.030564917235945635,0.0019697961081714854
fetch_sparse_sac,3,1.0,0.0,-1.7166666666666668,0.3752776749732568,50.0,0.0,,,,,,
fetch_sparse_sac_her,3,0.6666666666666666,0.5773502691896258,-17.933333333333334,27.770953050504644,50.0,0.0,50.0,,,,,
