#{"t_start": 1776829037.0570462, "env_id": "FetchReach-v4"}
r,l,t
-2.0,3,9.886584
0.0,1,9.900586
-1.0,2,9.924583
-2.0,3,9.966584
-1.0,2,9.992585
-1.0,2,10.019586
-2.0,3,10.057585
-2.0,3,10.099584
0.0,1,10.113585
-2.0,3,10.150584
-2.0,3,10.186584
-3.0,4,10.245584
-1.0,2,10.271584
-2.0,3,10.309584
-2.0,3,10.346584
-2.0,3,10.389583
0.0,1,10.403583
-1.0,2,10.430583
0.0,1,10.448584
-2.0,3,10.492585
-1.0,2,10.519585
-2.0,3,10.558584
-2.0,3,10.598583
-1.0,2,10.628092
-2.0,3,10.666092
0.0,1,10.681093
0.0,1,10.695092
-1.0,2,10.724092
-3.0,4,10.777092
-2.0,3,10.816093
-2.0,3,10.856092
-1.0,2,10.889092
-1.0,2,10.914095
-3.0,4,10.961092
-1.0,2,10.986092
-2.0,3,11.031092
0.0,1,11.044093
-1.0,2,11.070092
-2.0,3,11.110093
-3.0,4,11.168093
-2.0,3,11.208093
-3.0,4,11.259094
-2.0,3,11.299093
-2.0,3,11.346092
-2.0,3,11.386093
-1.0,2,11.410092
-1.0,2,11.441092
-2.0,3,11.481091
-2.0,3,11.513093
-2.0,3,11.551092
0.0,1,11.564093
-1.0,2,11.595093
0.0,1,11.609092
-1.0,2,11.635092
-2.0,3,11.674092
-2.0,3,11.722094
-1.0,2,11.749093
0.0,1,11.765094
-2.0,3,11.805604
-3.0,4,11.861602
-2.0,3,11.901603
-3.0,4,11.949602
-2.0,3,11.991604
-3.0,4,12.049603
-3.0,4,12.099602
-2.0,3,12.137602
-1.0,2,12.165603
-1.0,2,12.196603
-2.0,3,12.236604
-1.0,2,12.260603
-1.0,2,12.284603
-2.0,3,12.325603
-2.0,3,12.364605
-2.0,3,12.400604
-1.0,2,12.429604
-1.0,2,12.461602
0.0,1,12.474603
-3.0,4,12.526604
-2.0,3,12.566602
-1.0,2,12.595603
0.0,1,12.608603
-2.0,3,12.648602
0.0,1,12.659603
-2.0,3,12.705603
-2.0,3,12.742605
-3.0,4,12.794604
-1.0,2,12.819603
-2.0,3,12.864603
-2.0,3,12.905603
-3.0,4,12.956109
-1.0,2,12.982109
-2.0,3,13.024109
-3.0,4,13.074109
-3.0,4,13.12611
-2.0,3,13.16411
-2.0,3,13.20911
-3.0,4,13.26411
-1.0,2,13.288112
-2.0,3,13.329109
-2.0,3,13.37411
-2.0,3,13.41411
-1.0,2,13.443109
-1.0,2,13.46911
-1.0,2,13.500109
-2.0,3,13.544109
-1.0,2,13.56711
-1.0,2,13.591109
-3.0,4,13.64711
-3.0,4,13.69911
0.0,1,13.713109
-2.0,3,13.75511
-1.0,2,13.78811
-3.0,4,13.840109
-1.0,2,13.87011
-3.0,4,13.92211
-1.0,2,13.952109
-1.0,2,13.979109
-2.0,3,14.01811
-2.0,3,14.05611
-1.0,2,14.086109
-1.0,2,14.110109
-1.0,2,14.135618
-3.0,4,14.188619
-2.0,3,14.232619
-2.0,3,14.270619
-2.0,3,14.310618
-3.0,4,14.366618
-2.0,3,14.411618
-2.0,3,14.451618
-2.0,3,14.490619
-3.0,4,14.54162
-2.0,3,14.582618
-2.0,3,14.624618
-2.0,3,14.66362
-2.0,3,14.700618
-2.0,3,14.744618
-2.0,3,14.783618
-3.0,4,14.834618
-1.0,2,14.860618
-2.0,3,14.904619
-2.0,3,14.942618
-2.0,3,14.983618
-1.0,2,15.00862
-3.0,4,15.065618
-1.0,2,15.091618
0.0,1,15.105618
-2.0,3,15.141618
0.0,1,15.159618
-2.0,3,15.200618
-1.0,2,15.224618
-2.0,3,15.261619
-2.0,3,15.308128
-2.0,3,15.351129
-3.0,4,15.401128
-2.0,3,15.440129
-3.0,4,15.499128
-2.0,3,15.535127
-2.0,3,15.571128
0.0,1,15.585128
-2.0,3,15.631128
-2.0,3,15.672127
-3.0,4,15.722128
0.0,1,15.735128
-2.0,3,15.784128
0.0,1,15.798128
-2.0,3,15.837129
-2.0,3,15.88013
-2.0,3,15.921129
-2.0,3,15.958129
-1.0,2,15.984128
0.0,1,15.998128
-2.0,3,16.042127
-1.0,2,16.068129
-2.0,3,16.111128
-2.0,3,16.151129
-2.0,3,16.195128
-3.0,4,16.248129
-2.0,3,16.291127
-3.0,4,16.345129
-3.0,4,16.405128
-2.0,3,16.448133
-2.0,3,16.492636
-2.0,3,16.530636
-2.0,3,16.576638
-2.0,3,16.618636
-2.0,3,16.658636
-2.0,3,16.699636
-2.0,3,16.740635
-2.0,3,16.780635
-1.0,2,16.809636
-2.0,3,16.843637
-2.0,3,16.892636
-3.0,4,16.948637
-2.0,3,16.986635
-2.0,3,17.028636
-2.0,3,17.076637
-2.0,3,17.113637
0.0,1,17.127638
-3.0,4,17.182636
-2.0,3,17.226636
-2.0,3,17.266636
-2.0,3,17.307637
-2.0,3,17.344636
-2.0,3,17.385637
-1.0,2,17.409637
-2.0,3,17.450636
-2.0,3,17.492636
-2.0,3,17.534636
-1.0,2,17.557636
-1.0,2,17.586636
-2.0,3,17.628145
-2.0,3,17.670146
0.0,1,17.686145
-3.0,4,17.737147
-1.0,2,17.761145
-2.0,3,17.805145
-2.0,3,17.842145
-3.0,4,17.890145
-2.0,3,17.929144
-2.0,3,17.983147
0.0,1,17.999146
-2.0,3,18.040145
-2.0,3,18.080145
-1.0,2,18.112144
-3.0,4,18.163145
-1.0,2,18.185144
-2.0,3,18.225144
-2.0,3,18.270146
-3.0,4,18.319144
-1.0,2,18.343147
-1.0,2,18.369145
0.0,1,18.389146
-1.0,2,18.412145
-1.0,2,18.437145
-1.0,2,18.462145
-2.0,3,18.513147
-2.0,3,18.558146
-2.0,3,18.598146
-2.0,3,18.642145
0.0,1,18.656144
-2.0,3,18.693146
-1.0,2,18.722145
-2.0,3,18.759656
-1.0,2,18.793656
-2.0,3,18.830656
-1.0,2,18.855656
-1.0,2,18.885657
-1.0,2,18.917656
-2.0,3,18.952657
-3.0,4,19.010656
0.0,1,19.023656
-1.0,2,19.052657
-2.0,3,19.090657
-1.0,2,19.119656
-2.0,3,19.157656
-1.0,2,19.188658
0.0,1,19.200656
-2.0,3,19.240656
-2.0,3,19.283656
-2.0,3,19.324657
-2.0,3,19.369658
-3.0,4,19.422657
-1.0,2,19.449659
-3.0,4,19.507657
-2.0,3,19.545657
-3.0,4,19.605656
-2.0,3,19.643656
-1.0,2,19.670657
0.0,1,19.681657
-1.0,2,19.704657
-2.0,3,19.743656
-1.0,2,19.774656
-2.0,3,19.812657
0.0,1,19.825656
-1.0,2,19.852656
-3.0,4,19.912657
-2.0,3,19.95366
-2.0,3,19.994163
-1.0,2,20.022162
-2.0,3,20.064165
-1.0,2,20.089164
-2.0,3,20.126163
-2.0,3,20.168164
-1.0,2,20.199163
-2.0,3,20.240163
-2.0,3,20.279163
0.0,1,20.289164
-2.0,3,20.334164
-2.0,3,20.374164
-1.0,2,20.398163
-2.0,3,20.441165
-1.0,2,20.472164
-2.0,3,20.510162
-2.0,3,20.551164
-1.0,2,20.577163
-1.0,2,20.609163
-1.0,2,20.636163
-2.0,3,20.680163
-2.0,3,20.718164
-2.0,3,20.762163
-2.0,3,20.801162
-2.0,3,20.839163
-2.0,3,20.881163
-1.0,2,20.910162
0.0,1,20.925163
-1.0,2,20.949163
-2.0,3,20.988163
-1.0,2,21.019163
-1.0,2,21.045162
-1.0,2,21.068163
-2.0,3,21.106165
-3.0,4,21.161669
0.0,1,21.173669
-2.0,3,21.212669
-2.0,3,21.24967
-2.0,3,21.291669
-2.0,3,21.332669
-2.0,3,21.368669
-2.0,3,21.406669
-1.0,2,21.437669
-1.0,2,21.46667
-2.0,3,21.501671
0.0,1,21.51367
-1.0,2,21.54767
0.0,1,21.560669
-2.0,3,21.598669
-2.0,3,21.63667
-2.0,3,21.679669
-3.0,4,21.730669
-2.0,3,21.76867
-2.0,3,21.80867
-2.0,3,21.84967
-2.0,3,21.88967
-2.0,3,21.925669
-2.0,3,21.96467
0.0,1,21.984669
-2.0,3,22.018669
-2.0,3,22.057669
-1.0,2,22.08567
-2.0,3,22.12767
-1.0,2,22.149669
-2.0,3,22.18767
-3.0,4,22.24067
-1.0,2,22.272669
-3.0,4,22.325179
-3.0,4,22.379179
-2.0,3,22.419179
-2.0,3,22.463178
-2.0,3,22.500178
-3.0,4,22.550179
-2.0,3,22.590178
-2.0,3,22.632179
-1.0,2,22.660178
-3.0,4,22.711179
-1.0,2,22.737178
-2.0,3,22.785178
-2.0,3,22.825177
-1.0,2,22.851178
-2.0,3,22.892179
-2.0,3,22.934178
-2.0,3,22.975179
-2.0,3,23.012178
-1.0,2,23.034178
-2.0,3,23.075179
-3.0,4,23.122178
-1.0,2,23.147179
-2.0,3,23.186178
-3.0,4,23.244178
-2.0,3,23.285178
-2.0,3,23.323179
-3.0,4,23.37718
0.0,1,23.397179
-2.0,3,23.435178
-1.0,2,23.458688
-3.0,4,23.513688
-2.0,3,23.574688
0.0,1,23.587688
-1.0,2,23.617688
-1.0,2,23.647688
0.0,1,23.666687
-1.0,2,23.692688
-2.0,3,23.732689
-2.0,3,23.774688
-1.0,2,23.804688
-2.0,3,23.844687
-2.0,3,23.887687
-1.0,2,23.912688
-2.0,3,23.953688
-2.0,3,23.991688
-3.0,4,24.039689
-2.0,3,24.077689
-3.0,4,24.129688
-1.0,2,24.153688
-3.0,4,24.205688
-3.0,4,24.255687
-1.0,2,24.285687
-1.0,2,24.311687
0.0,1,24.324687
-1.0,2,24.350689
-1.0,2,24.381687
0.0,1,24.393688
-2.0,3,24.431689
-3.0,4,24.495688
-3.0,4,24.551687
-2.0,3,24.590687
0.0,1,24.605687
-1.0,2,24.629688
-2.0,3,24.671693
-3.0,4,24.728199
0.0,1,24.742198
-3.0,4,24.797197
-2.0,3,24.843198
-2.0,3,24.882198
-1.0,2,24.907198
-1.0,2,24.932197
-1.0,2,24.963197
-2.0,3,25.000198
0.0,1,25.012197
-1.0,2,25.040198
-1.0,2,25.072198
-2.0,3,25.108198
-2.0,3,25.148198
-1.0,2,25.172198
-2.0,3,25.214198
-3.0,4,25.268198
0.0,1,25.279198
-2.0,3,25.319198
-1.0,2,25.346198
-2.0,3,25.388197
-2.0,3,25.428198
-1.0,2,25.452198
0.0,1,25.4712
-2.0,3,25.512197
0.0,1,25.524197
-2.0,3,25.562198
-1.0,2,25.592197
-1.0,2,25.619198
-2.0,3,25.658197
-2.0,3,25.696199
-1.0,2,25.727198
-2.0,3,25.763197
0.0,1,25.777198
-2.0,3,25.818201
-1.0,2,25.860704
-2.0,3,25.900704
-1.0,2,25.925706
-1.0,2,25.951704
-2.0,3,25.994704
-3.0,4,26.046706
-1.0,2,26.073705
-1.0,2,26.098704
-1.0,2,26.130704
-2.0,3,26.172704
-2.0,3,26.209706
-3.0,4,26.263705
-2.0,3,26.304704
-2.0,3,26.340706
-2.0,3,26.384704
-2.0,3,26.425706
-3.0,4,26.483704
-2.0,3,26.525703
-1.0,2,26.550704
-2.0,3,26.591705
-2.0,3,26.631704
0.0,1,26.644705
-1.0,2,26.676704
-3.0,4,26.734705
-1.0,2,26.762704
-1.0,2,26.789704
-2.0,3,26.827705
-1.0,2,26.851704
-3.0,4,26.905704
-1.0,2,26.931703
-2.0,3,26.968214
-2.0,3,27.010215
0.0,1,27.028215
-1.0,2,27.054216
-2.0,3,27.095213
-2.0,3,27.143215
-2.0,3,27.187213
-2.0,3,27.223213
-1.0,2,27.250213
-3.0,4,27.299215
-3.0,4,27.353215
-3.0,4,27.407213
-2.0,3,27.450213
-1.0,2,27.478214
-2.0,3,27.520213
-1.0,2,27.545213
-1.0,2,27.571214
-2.0,3,27.611213
-1.0,2,27.644215
-3.0,4,27.699214
-3.0,4,27.752213
-1.0,2,27.780215
0.0,1,27.800214
-1.0,2,27.826213
-2.0,3,27.863214
-3.0,4,27.916213
-2.0,3,27.961214
-2.0,3,28.001214
-1.0,2,28.029213
-1.0,2,28.057213
-2.0,3,28.100216
-2.0,3,28.137722
-2.0,3,28.181722
-3.0,4,28.237722
-3.0,4,28.295722
-1.0,2,28.324722
-2.0,3,28.361723
-3.0,4,28.410722
-2.0,3,28.461722
-2.0,3,28.502726
0.0,1,28.516722
-2.0,3,28.552722
-2.0,3,28.596262
-1.0,2,28.623263
0.0,1,28.639263
-2.0,3,28.683262
0.0,1,28.701262
-2.0,3,28.741263
-1.0,2,28.768261
-1.0,2,28.796263
-3.0,4,28.862261
-3.0,4,28.912262
-2.0,3,28.950068
-2.0,3,28.993994
-3.0,4,29.064993
-2.0,3,29.106994
-3.0,4,29.157994
-1.0,2,29.183993
-2.0,3,29.227994
-2.0,3,29.267505
-2.0,3,29.314505
-1.0,2,29.340506
-3.0,4,29.399505
-1.0,2,29.428505
-1.0,2,29.455508
-1.0,2,29.480507
-2.0,3,29.531505
0.0,1,29.544509
-2.0,3,29.585505
-1.0,2,29.609505
-2.0,3,29.652506
-2.0,3,29.685506
-3.0,4,29.734506
-1.0,2,29.758505
-2.0,3,29.798505
-2.0,3,29.835506
-1.0,2,29.861506
-1.0,2,29.888506
-1.0,2,29.918505
-1.0,2,29.947508
-1.0,2,29.972506
-2.0,3,30.013506
-1.0,2,30.052505
-1.0,2,30.078505
-2.0,3,30.118506
-2.0,3,30.154505
-2.0,3,30.198504
-2.0,3,30.237505
-1.0,2,30.262505
-1.0,2,30.287507
-3.0,4,30.356506
-1.0,2,30.379505
-1.0,2,30.407022
-1.0,2,30.434018
-2.0,3,30.484017
-1.0,2,30.510015
0.0,1,30.524015
-3.0,4,30.574016
-2.0,3,30.618015
-2.0,3,30.655015
-1.0,2,30.679016
-2.0,3,30.715019
-2.0,3,30.758015
-1.0,2,30.782016
-2.0,3,30.826015
-1.0,2,30.854016
-2.0,3,30.901015
-1.0,2,30.927015
-2.0,3,30.964015
-2.0,3,31.001016
-2.0,3,31.046016
-1.0,2,31.075015
0.0,1,31.088015
-2.0,3,31.126016
-2.0,3,31.168016
-2.0,3,31.208015
-2.0,3,31.246015
0.0,1,31.260016
-2.0,3,31.308015
-1.0,2,31.333015
-1.0,2,31.358015
-2.0,3,31.397018
-1.0,2,31.428016
-1.0,2,31.451015
-2.0,3,31.489015
-1.0,2,31.518015
-2.0,3,31.558525
0.0,1,31.572524
-1.0,2,31.596524
0.0,1,31.609525
-1.0,2,31.640527
-2.0,3,31.683525
-2.0,3,31.716526
-2.0,3,31.752526
-2.0,3,31.790525
-3.0,4,31.841526
